Owner;Country;Visitors;New visitors;Pageviews;Events;Sessions
Affarsverken Karlskrona AB;Sweden;1;1;3;0;3
Artmotion Sh.p.k;Republic of Serbia;1;1;3;0;3
Atlantic.net;USA;1;1;3;0;1
Atmoso Limited;UK;1;1;3;0;3
Banque Pictet & Cie SA;Switzerland;1;1;3;0;2
Blix Solutions;Norway;1;1;3;0;3
City of Tacoma;USA;1;1;3;0;3
City of Westfield (Gas & Electric Light Department;USA;1;1;3;0;3
Comunicaciones Netglobalis S.A;Chile;1;0;3;0;3
Cosmote Mobile Telecommunications S.A;Greece;1;1;3;0;3
5x5 Telecom;USA;1;1;2;0;1
AB SEB bankas;Lithuania;1;1;2;0;2
ABN AMRO Bank N.V;Netherlands;1;1;2;0;2
ALADDIN R.D. Ltd;Russia;1;1;2;0;2
APA-IT Informations Technologie G.m.b.H;Austria;1;1;2;0;2
AXA Insurance UK plc;UK;1;1;2;0;2
Accelerated Connections;Canada;1;1;2;0;2
Agility Applications Pty;Australia;1;1;2;0;2
Alfa Telecom CJSC;Kyrgyzstan;1;1;2;0;2
Altecom;Spain;1;1;2;0;2
American Internet Services;USA;1;1;2;0;2
Arkaden Konsult AB;Sweden;1;0;2;0;2
Arvato Systems GmbH;Germany;1;1;2;0;2
Arya Sepehr Ettelarasan Tehran PLC;Iran;1;1;2;0;2
Aspire Technology Solutions Ltd;UK;1;1;2;0;2
AutoScout24 GmbH;Germany;1;1;2;0;2
Automated Financial Systems;USA;1;1;2;0;2
AxcelX Technologies LLC;USA;1;0;2;0;1
Bangladesh Online;Bangladesh;1;1;2;0;2
Bank Leumi le-Israel B.M;Israel;1;1;2;0;2
Barracuda Networks;USA;1;1;2;0;2
Bedag Informatik AG;Switzerland;1;1;2;0;2
Beehive Broadband;USA;1;1;2;0;2
Beijing Qihu Technology Company Limited;China;1;1;2;0;2
BeotelNet-ISP d.o.o;Republic of Serbia;1;1;2;0;2
Best Buy Co;USA;1;1;2;0;2
Bioniq-Ltd;South Africa;1;1;2;0;2
Bjc Health System;USA;1;0;2;0;2
Bluestem Brands;USA;1;1;2;0;2
Bresco Broadband;USA;1;0;2;0;1
CSL Limited;Hong Kong;1;1;2;0;2
Canopy Partners;USA;1;0;2;0;2
Capgemini Polska Sp. z o.o;Poland;1;1;2;0;2
Capitalonline Data Service Co;Hong Kong;1;0;2;0;2
Carahsoft Technology Corp;USA;1;1;2;0;2
Carilion Health System;USA;1;1;2;0;2
Caucasus digital network;Georgia;1;1;2;0;2
Cesena Net S.r.l;Italy;1;1;2;0;2
China Telecom (Group);China;1;0;2;0;2
City University of Hong Kong;Hong Kong;1;1;2;0;2
Clearnetworx;USA;1;1;2;0;2
Coast Capital Savings Credit Union;Canada;1;1;2;0;1
Colorado Central Telecom;USA;1;1;2;0;2
Conecttiva Telecom Ltda;Brazil;1;1;2;0;2
Conexao Networks Provedor de Internet;Brazil;1;1;2;0;2
Cortel LLC;Russia;1;1;2;0;2
County of Fresno;USA;1;1;2;0;2
County of Riverside;USA;1;0;2;0;2
Crevision S.A;Spain;1;1;2;0;2
Cronon Aktiengesellschaft;Germany;1;1;2;0;2
DM Wireless;Puerto Rico;1;1;2;0;2
#15E2;Turkey;1;1;1;0;1
#15E2;India;1;1;1;0;1
#203;USA;1;1;1;0;1
12 Global;USA;1;0;1;0;1
123 Net Cpt (pty) Ltd;South Africa;1;1;1;0;1
24 Shells;USA;1;1;1;0;1
2COM Co ltd;Russia;1;1;1;0;1
4 Less Communications;USA;1;1;1;0;1
469 Nakronsawan.Rd;Thailand;1;1;1;0;1
51/a Rachna Midas Gokulpeth;India;1;1;1;0;1
8 Shenton Way;Singapore;1;1;1;0;1
84.51 LLC;USA;1;1;1;0;1
A Albanes Garcia Tecnologia Ltda Me;Brazil;1;1;1;0;1
A C N Fiber Private Limited;India;1;1;1;0;1
A-Net Co;Thailand;1;1;1;0;1
A. P. Oliveira & Cia. Informatica Ltda;Brazil;1;1;1;0;1
ABAK;Czech Republic;1;1;1;0;1
ABCOM Shpk;Albania;1;1;1;0;1
ACE Insurance Singapore;Singapore;1;1;1;0;1
ACI informatica s.p.a;Italy;1;1;1;0;1
ACN DSL;Canada;1;1;1;0;1
ACT Government InTACT Group;Australia;1;1;1;0;1
AD Auto Total SRL;Romania;1;1;1;0;1
ADISTA SAS;France;1;1;1;0;1
ADLLink Provedor de Internet Via Radio LTDA;Brazil;1;1;1;0;1
ADP Private Limited;India;1;1;1;0;1
AG Telecom LTD;Azerbaijan;1;1;1;0;1
AKBANK TAS;Turkey;1;1;1;0;1
AL Zaytona Company For Communication Ltd;West Bank;1;1;1;0;1
ALBtelecom;Albania;1;1;1;0;1
ALFA-SYSTEM M. Piwowarski;Poland;1;1;1;0;1
ALIDA SRL;Italy;1;1;1;0;1
AMPM Telecom;Brazil;1;1;1;0;1
ANANET Telecomunicacoes e Informatica LTDA. ME;Brazil;1;1;1;0;1
ANGOSTURA VIDEO CABLE SA;Argentina;1;1;1;0;1
ANS Group Limited;UK;1;1;1;0;1
ANZ Banking Group;India;1;1;1;0;1
ANZ National Bank;New Zealand;1;1;1;0;1
AO Teleradiocompany Odintsovo;Russia;1;1;1;0;1
APHB Colony;India;1;1;1;0;1
ARZ Allgemeines Rechenzentrum GmbH;Austria;1;1;1;0;1
AXA Financial;USA;1;1;1;0;1
AbbVie;USA;1;1;1;0;1
Abc Telecom - Comunicacao Eireli;Brazil;1;1;1;0;1
Abissnet sh.a;Albania;1;1;1;0;1
Acantho S.p.a;Italy;1;1;1;0;1
